,Launch Date,Mission,Data,Description
16,July,Falcon 9 • Transporter 2,"Launch time: TBD Launch site: SLC-40, Cape Canaveral Space Force Station, Florida","A SpaceX Falcon 9 rocket will launch the Transporter 2 mission, a rideshare flight to a sun-synchronous orbit with numerous small microsatellites and nanosatellites for commercial and government customers. [March 31]"
17,July,PSLV • RISAT 1A,"Launch time: TBD Launch site: Satish Dhawan Space Center, Sriharikota, India","India’s Polar Satellite Launch Vehicle (PSLV), designated PSLV-C52, will launch the Indian RISAT 1A radar Earth observation satellite. [March 12]"
18,July,Ariane 5 • Star One D2 & Eutelsat Quantum,"Launch window: TBD Launch site: ELA-3, Kourou, French Guiana","Arianespace will use an Ariane 5 ECA rocket, designated VA254, to launch the Star One D2 and Eutelsat Quantum communications satellites. Owned by the Brazilian operator Embratel Star One, the Star One D2 was built by Maxar and will deliver telecommunications, direct-to-home television services, and fast broadband to customers in South America, Mexico, Central America, and parts of the Atlantic Ocean. The Eutelsat Quantum satellite was built by SSTL and Airbus Defense and Space under the auspices of a public-private research and development project between the European Space Agency, Eutelsat and Airbus. Designed for coverage over the Middle East and North Africa, the software-defined satellite can be reprogrammed for new communications missions in orbit. Delayed from January, February, March 4, and May. [March 31]"
19,July 15,Proton • Nauka,"Launch time: TBD Launch site: Baikonur Cosmodrome, Kazakhstan","A Russian government Proton rocket will launch the Nauka laboratory module to the International Space Station. The Nauka module, or the Multipurpose Laboratory Module, will also carry the European Robotic Arm to the space station. [April 26]"
20,July,Falcon Heavy • USSF 44,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida","A SpaceX Falcon Heavy rocket will launch the USSF 44 mission for the U.S. Space Force. The mission is expected to deploy two spacecraft payloads directly into geosynchronous orbit, one of which is the military’s TETRA 1 microsatellite. Delayed from late 2020 and 2nd quarter of 2021. [Feb. 23]"
21,Mid-2021,Vega C • LARES 2,"Launch time: TBD Launch site: ZLV, Kourou, French Guiana","An Arianespace Vega C rocket will launch the LARES 2 satellite for ASI, the Italian space agency. The spherical LARES 2 satellite is covered in laser mirrors to enable precise tracking from the ground, enabling research into geoodynamics and general relativity. This will mark the inaugural flight of Europe’s new Vega C rocket, featuring a more powerful first stage motor, an enlarged second stage, an improved liquid-fueled upper stage, and a new payload fairing design. Delayed from mid-2020 by coronavirus impacts. Delayed from December and early 2021. [Nov. 9]"
22,Aug. 1,Antares • NG-16,"Launch time: TBD Launch site: Pad 0A, Wallops Island, Virginia","A Northrop Grumman Antares rocket will launch the 17th Cygnus cargo freighter on the 16th operational cargo delivery flight to the International Space Station. The mission is known as NG-16. The rocket will fly in the Antares 230+ configuration, with two RD-181 first stage engines and a Castor 30XL second stage. Delayed from July. [March 31]"
23,NET August,Atlas 5 • CST-100 Starliner Orbital Flight Test 2,"Launch time: TBD Launch site: SLC-41, Cape Canaveral Air Force Station, Florida","A United Launch Alliance Atlas 5 rocket, designated AV-082, will launch Boeing’s CST-100 Starliner spacecraft on second unpiloted test flight to the International Space Station. This mission was added after Boeing’s decision to refly the Starliner’s Orbital Flight Test before proceeding with the Crew Flight Test. The rocket will fly in a vehicle configuration with two solid rocket boosters and a dual-engine Centaur upper stage. Delayed from 3rd Quarter. Delayed from Jan. 4. Moved forward from March 29, April 2 and May. [April 21]"
24,August,Atlas 5 • USSF 8 (GSSAP 5 & 6),"Launch time: TBD Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Atlas 5 rocket will launch the USSF 8 mission with the fifth and sixth satellites for the Space Force’s Geosynchronous Space Situational Awareness Program, or GSSAP, designed to help the military track and observe objects in geosynchronous orbit. The rocket will fly in the 511 vehicle configuration with a five-meter fairing, one solid rocket booster and a single-engine Centaur upper stage. Delayed from 4th Quarter of 2020 and March. [Feb. 16]"
25,Aug. 18,Falcon 9 • SpaceX CRS 23,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida",A SpaceX Falcon 9 rocket will launch a Dragon 2 spacecraft on its third cargo resupply mission to the International Space Station. The flight is the 23rd mission by SpaceX conducted under a Commercial Resupply Services contract with NASA. [Feb. 23]
26,August,Ariane 5 • SES 17 & Ovzon 3,"Launch window: TBD Launch site: ELA-3, Kourou, French Guiana","Arianespace will use an Ariane 5 ECA rocket, designated VA255, to launch the SES 17 and Ovzon 3 communications satellites. Built by Thales Alenia Space, SES 17 is a Ka-band high-throughput geostationary communications satellite designed to provide mobile internet services to airline passengers over the Americas and the Atlantic Ocean for SES of Luxembourg. The Ovzon 3 spacecraft, built by Maxar and owned by the Swedish company Ovzon AB, is a small geostationary communications satellite designed for mobile broadband services. [March 31]"
27,September,Soyuz • Galileo 27 & 28,"Launch time: TBD Launch site: ELS, Sinnamary, French Guiana",An Arianespace Soyuz rocket will launch on a mission from the Guiana Space Center in South America. The Soyuz will carry two Galileo full operational capability satellites for Europe’s Galileo navigation constellation. The Soyuz-2.1b (Soyuz ST-B) rocket will use a Fregat upper stage. Delayed from mid-2021. [Feb. 23]
28,Sept. 15,Falcon 9 • Inspiration4,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida","A SpaceX Falcon 9 rocket will launch a Crew Dragon spacecraft on the first all-private, all-civilian orbital mission, known as Inspiration4. The mission is organized to raise money for St. Jude Children’s Research Hospital. The mission is commanded by billionaire Jared Isaacman, who will be joined by scientist and educator Sian Proctor, medical officer Hayley Arceneaux, and mission specialist Christopher Sembroski. [March 31]"
29,September,Falcon 9 • WorldView Legion 1 & 2,"Launch time: TBD Launch site: SLC-4E, Vandenberg Air Force Base, California",A SpaceX Falcon 9 rocket will launch the first two WorldView Legion Earth observation satellites for Maxar Technologies. Maxar plans to deploy six commercial WorldView Legion high-resolution remote sensing satellites into a mix of sun-synchronous and mid-inclination orbits on two SpaceX Falcon 9 rockets. Delayed from January. [Nov. 27]
30,Oct. 5,Soyuz • ISS 65S,"Launch time: TBD Launch site: Baikonur Cosmodrome, Kazakhstan","A Russian government Soyuz rocket will launch the crewed Soyuz MS-19 spacecraft to the International Space Station with members of the next Expedition crew. The capsule will remain at the station for about six months, providing an escape pod for the residents. The rocket will fly in the Soyuz-2.1a configuration. Delayed from Sept. 22. [March 31]"
31,October,Falcon Heavy • USSF 52,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida",A SpaceX Falcon Heavy rocket will launch the USSF 52 mission for the U.S. Space Force. The mission will launch an unspecified military payload on this mission. [Feb. 23]
32,Oct. 16,Atlas 5 • Lucy,"Launch time: 0935 GMT (5:35 a.m. EDT) Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Atlas 5 rocket will launch NASA’s Lucy spacecraft. Built by Lockheed Martin and led by the Southwest Research Institute, Lucy will fly by seven Trojan asteroids, a unique family of asteroids that orbit the sun in front of and behind Jupiter. The rocket will fly in the 401 vehicle configuration with a four-meter fairing, no solid rocket boosters, and a single-engine Centaur upper stage. [Feb. 23]"
33,Oct. 23,Falcon 9 • Crew 3,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida","A SpaceX Falcon 9 rocket will launch a Crew Dragon spacecraft on its third operational flight with astronauts on-board to the International Space Station. NASA astronauts Raja Chari and Thomas Marshburn, and European Space Agency astronaut Matthias Maurer will launch on the Crew Dragon spacecraft. A fourth crew member will be assigned at a later date. The Crew Dragon will return to a splashdown at sea. Delayed from Sept. 13. [April 12]"
34,Oct. 28,Soyuz • Progress 79P,"Launch time: TBD Launch site: Baikonur Cosmodrome, Kazakhstan",A Russian government Soyuz rocket will launch the 79th Progress cargo delivery ship to the International Space Station. The rocket will fly in the Soyuz-2.1a configuration. Delayed from Aug. 21. [March 31]
35,Oct. 31,Ariane 5 • James Webb Space Telescope,"Launch window: TBD Launch site: ELA-3, Kourou, French Guiana","Arianespace used an Ariane 5 ECA rocket, designated VA256, to launch the James Webb Space Telescope, a flagship observatory developed by NASA, the European Space Agency, and the Canadian Space Agency. JWST is the largest space telescope ever built, with a deployable mirror measuring 21.3 feet (6.5 meters) in diameter and four scientific instruments to observe the universe in infrared wavelengths. The mission will study the formation of galaxies, stars, and planets. The Ariane 5 ECA rocket will launch JWST on a trajectory toward its operating position at the L2 Lagrange point nearly a million miles (1.5 million kilometers) from Earth. [Feb. 23]"
36,4th Quarter,Falcon 9 • Turksat 5B,"Launch window: TBD Launch site: Cape Canaveral, Florida","A SpaceX Falcon 9 rocket will launch the Turksat 5B communications satellite for Turksat, a Turkish satellite operator. Built by Airbus Defense and Space with significant Turkish contributions, the Turksat 5B satellite will provide broadband services over a wide coverage area, including Turkey, the Middle East and large regions of Africa. Delayed from June. [April 15]"
37,Nov. 17,Falcon 9 • IXPE,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida","A SpaceX Falcon 9 rocket will launch the NASA’s Imaging X-ray Polarimetry Explorer. IXPE exploits the polarization state of light from astrophysical sources to provide insight into our understanding of X-ray production in objects such as neutron stars and pulsar wind nebulae, as well as stellar and supermassive black holes. [Feb. 23]"
38,Nov. 24,Falcon 9 • DART,"Launch time: TBD Launch site: SLC-4E, Vandenberg Air Force Base, California","A SpaceX Falcon 9 rocket will launch NASA’s Double Asteroid Redirection Test, or DART, mission. DART is NASA’s first flight demonstration for planetary defense. The mission seeks to test and validate a method to protect Earth in case of an asteroid impact threat. The mission aims to shift an asteroid’s orbit through kinetic impact — specifically, by impacting a spacecraft into the smaller member of the binary asteroid system Didymos to change its orbital speed. Delayed from July. [Feb. 23]"
39,Dec. 4,Falcon 9 • SpaceX CRS 24,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida",A SpaceX Falcon 9 rocket will launch a Dragon 2 spacecraft on its fourth cargo resupply mission to the International Space Station. The flight is the 24th mission by SpaceX conducted under a Commercial Resupply Services contract with NASA. [April 12]
40,Dec. 7,Atlas 5 • GOES-T,"Launch time: 2140 GMT (4:40 p.m. EST)Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Atlas 5 rocket will launch GOES-T, the third next-generation geostationary weather satellite for NASA and NOAA. GOES-T will orbit 22,300 miles above the equator to monitor weather conditions across the United States. The rocket will fly in the 541 vehicle configuration with a five-meter fairing, four solid rocket boosters and a single-engine Centaur upper stage. [Feb. 23]"
41,4th Quarter,SSLV • Demonstration Launch,"Launch time: TBD Launch site: Satish Dhawan Space Center, Sriharikota, India","India’s Small Satellite Launch Vehicle (SSLV) will launch on its first orbital test flight. Consisting of three solid-fueled stages and a liquid-fueled upper stage, the SSLV is a new Indian launch vehicle designed to carry small satellites into low Earth orbit. Delayed from September and December 2019. Delayed from January and December 2020. Delayed from April. [March 31]"
42,4th Quarter,Vulcan Centaur • Peregrine,"Launch window: TBD Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Vulcan Centaur rocket will launch on its inaugural flight with the Peregrine commercial lunar lander for Astrobotic. The Peregrine robotic lander will carry multiple experiments, scientific instruments, and tech demo payloads for NASA and other customers. The Vulcan Centaur rocket will fly in the VC2S configuration with two GEM-63XL solid rocket boosters, a short-length payload fairing, and two RL10 engines on the Centaur upper stage. [Feb. 23]"
43,4th Quarter,SSLV • BlackSky Global,"Launch time: TBD Launch site: Satish Dhawan Space Center, Sriharikota, India","India’s Small Satellite Launch Vehicle (SSLV) will launch on its first commercial mission with four Earth observation satellites for BlackSky Global, a Seattle-based company. The rideshare mission for BlackSky is being arranged by Spaceflight. Delayed from November, late 2019 and early 2020. Delayed from early 2021 and July. [March 31]"
44,Late 2021,Atlas 5 • CST-100 Starliner Crew Flight Test,"Launch window: TBD Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Atlas 5 rocket will launch Boeing’s CST-100 Starliner spacecraft on its first mission with astronauts, known as the Crew Test Flight, to the International Space Station. The capsule will dock with the space station, then return to Earth to landing in the Western United States. NASA astronauts Butch Wilmore, Mike Fincke and Nicole Mann will fly on the Crew Flight Test. The rocket will fly in a vehicle configuration with two solid rocket boosters and a dual-engine Centaur upper stage. Delayed from August and 1st Quarter of 2020. Delayed from mid-2020 after Boeing decision to refly the Orbital Flight Test. Delayed from early 2021 and June 2021. [April 26]"
